"","word","freq"
"""agrobiodiversity"",","""agrobiodiversity"",",9
"""nepal"",","""nepal"",",9
"""china"",","""china"",",8
"""rice"",","""rice"",",6
"""geneticdiversity"",","""geneticdiversity"",",5
"""agriculture"",","""agriculture"",",4
"""biodiversity"",","""biodiversity"",",4
"""on-farmconservation"",","""on-farmconservation"",",4
"""agroforestry"",","""agroforestry"",",3
"""conservation"",","""conservation"",",3
"""himalaya"",","""himalaya"",",3
"""india"",","""india"",",3
"""indigenousknowledge"",","""indigenousknowledge"",",3
"""landraces"",","""landraces"",",3
"""landuse"",","""landuse"",",3
"""traditionalknowledge"",","""traditionalknowledge"",",3
"""xishuangbanna"",","""xishuangbanna"",",3
"""yunnan"",","""yunnan"",",3
"""agriculturalbiodiversity"",","""agriculturalbiodiversity"",",2
"""conservationtillage"",","""conservationtillage"",",2
"""cost-benefitanalysis"",","""cost-benefitanalysis"",",2
"""croppingsystem"",","""croppingsystem"",",2
"""diversity"",","""diversity"",",2
"""economics"",","""economics"",",2
"""energy"",","""energy"",",2
"""foodsecurity"",","""foodsecurity"",",2
"""grazing"",","""grazing"",",2
"""insituconservation"",","""insituconservation"",",2
"""integration"",","""integration"",",2
"""irrigation"",","""irrigation"",",2
"""landrace"",","""landrace"",",2
"""livestocksystem"",","""livestocksystem"",",2
"""microsatellites"",","""microsatellites"",",2
"""mountains"",","""mountains"",",2
"""pakistan"",","""pakistan"",",2
"""shiftingcultivation"",","""shiftingcultivation"",",2
"""structure"",","""structure"",",2
"""sustainableagriculture"",","""sustainableagriculture"",",2
"""sustainabledevelopment"",","""sustainabledevelopment"",",2
"""traditionalvariety"",","""traditionalvariety"",",2
"""wheat"",","""wheat"",",2
"""15nisotopedilution"",","""15nisotopedilution"",",1
"""3m"",","""3m"",",1
"""accessions"",","""accessions"",",1
"""addednitrogeninteraction"",","""addednitrogeninteraction"",",1
"""administrativeregions"",","""administrativeregions"",",1
"""aerialphotointerpretation"",","""aerialphotointerpretation"",",1
"""agevariation"",","""agevariation"",",1
"""agriculturalpattern"",","""agriculturalpattern"",",1
"""agriculturalpractices"",","""agriculturalpractices"",",1
"""agriculturalproductivity"",","""agriculturalproductivity"",",1
"""agriculturalsustainabilityindevelopingcountries"",","""agriculturalsustainabilityindevelopingcountries"",",1
"""agriculturaltransitions"",","""agriculturaltransitions"",",1
"""agro-morpologicaldiversity"",","""agro-morpologicaldiversity"",",1
"""agro-practice"",","""agro-practice"",",1
"""agrobiodiversityconservation"",","""agrobiodiversityconservation"",",1
"""agrobiodiversityloss"",","""agrobiodiversityloss"",",1
"""agrobotanicalcharacters"",","""agrobotanicalcharacters"",",1
"""agroecosystem"",","""agroecosystem"",",1
"""agronomictraits"",","""agronomictraits"",",1
"""alder-uplandrice"",","""alder-uplandrice"",",1
"""animalhusbandrypractices"",","""animalhusbandrypractices"",",1
"""aonagatribe"",","""aonagatribe"",",1
"""apiscerana"",","""apiscerana"",",1
"""apodemusagrarius"",","""apodemusagrarius"",",1
"""aromaticrice"",","""aromaticrice"",",1
"""arsenicphytotoxicity"",","""arsenicphytotoxicity"",",1
"""arundinariaintermedia"",","""arundinariaintermedia"",",1
"""asparagusracemosus"",","""asparagusracemosus"",",1
"""bangladesh"",","""bangladesh"",",1
"""benefitcostratio"",","""benefitcostratio"",",1
"""bivariateprobit"",","""bivariateprobit"",",1
"""blossomdate"",","""blossomdate"",",1
"""buckwheat"",","""buckwheat"",",1
"""bufferzone"",","""bufferzone"",",1
"""c"",","""c"",",1
"""canalratio"",","""canalratio"",",1
"""capitalassets"",","""capitalassets"",",1
"""carlsprengel"",","""carlsprengel"",",1
"""cashcrops"",","""cashcrops"",",1
"""chillinginjury"",","""chillinginjury"",",1
"""chinesefir"",","""chinesefir"",",1
"""cinnamomumtamala"",","""cinnamomumtamala"",",1
"""clientorientedbreeding(cob)"",","""clientorientedbreeding(cob)"",",1
"""commercialisation"",","""commercialisation"",",1
"""communitybasedseedproduction"",","""communitybasedseedproduction"",",1
"""competitivenessofagro-produce"",","""competitivenessofagro-produce"",",1
"""composition"",","""composition"",",1
"""conservationalagriculture"",","""conservationalagriculture"",",1
"""contamination"",","""contamination"",",1
"""contemporaryagriculture"",","""contemporaryagriculture"",",1
"""contingentvaluation"",","""contingentvaluation"",",1
"""contourhedgerowintercropping"",","""contourhedgerowintercropping"",",1
"""conventionalagriculture"",","""conventionalagriculture"",",1
"""cropdiversity"",","""cropdiversity"",",1
"""cropgeneticdiversity"",","""cropgeneticdiversity"",",1
"""cropimprovement"",","""cropimprovement"",",1
