"","word","freq"
"""foodsecurity"",","""foodsecurity"",",36
"""climatechange"",","""climatechange"",",33
"""china"",","""china"",",29
"""india"",","""india"",",26
"""agriculture"",","""agriculture"",",23
"""nepal"",","""nepal"",",18
"""geneticdiversity"",","""geneticdiversity"",",15
"""sustainability"",","""sustainability"",",15
"""agribusiness"",","""agribusiness"",",14
"""agrobiodiversity"",","""agrobiodiversity"",",14
"""cropdiversity"",","""cropdiversity"",",14
"""ecosystemservices"",","""ecosystemservices"",",13
"""biodiversity"",","""biodiversity"",",12
"""conservation"",","""conservation"",",12
"""rice"",","""rice"",",11
"""adaptation"",","""adaptation"",",10
"""landuse"",","""landuse"",",9
"""sustainabledevelopment"",","""sustainabledevelopment"",",9
"""sustainableintensification"",","""sustainableintensification"",",9
"""adoption"",","""adoption"",",8
"""intercropping"",","""intercropping"",",8
"""livelihood"",","""livelihood"",",8
"""pakistan"",","""pakistan"",",8
"""landraces"",","""landraces"",",7
"""maize"",","""maize"",",7
"""resilience"",","""resilience"",",7
"""sustainableagriculture"",","""sustainableagriculture"",",7
"""wheat"",","""wheat"",",7
"""yield"",","""yield"",",7
"""agritourism"",","""agritourism"",",6
"""conservationagriculture"",","""conservationagriculture"",",6
"""himalaya"",","""himalaya"",",6
"""integratedfarmingsystem"",","""integratedfarmingsystem"",",6
"""bigdata"",","""bigdata"",",5
"""clusteranalysis"",","""clusteranalysis"",",5
"""cropproduction"",","""cropproduction"",",5
"""diversity"",","""diversity"",",5
"""ecologicalagriculture"",","""ecologicalagriculture"",",5
"""ecosystemservice"",","""ecosystemservice"",",5
"""ethnobotany"",","""ethnobotany"",",5
"""germplasm"",","""germplasm"",",5
"""himalayas"",","""himalayas"",",5
"""legumes"",","""legumes"",",5
"""organicfarming"",","""organicfarming"",",5
"""traditionalknowledge"",","""traditionalknowledge"",",5
"""agroforestry"",","""agroforestry"",",4
"""carbonsequestration"",","""carbonsequestration"",",4
"""cropimprovement"",","""cropimprovement"",",4
"""dietarydiversity"",","""dietarydiversity"",",4
"""domestication"",","""domestication"",",4
"""drought"",","""drought"",",4
"""energy"",","""energy"",",4
"""forest"",","""forest"",",4
"""governance"",","""governance"",",4
"""landabandonment"",","""landabandonment"",",4
"""landconsolidation"",","""landconsolidation"",",4
"""landtenure"",","""landtenure"",",4
"""livelihoods"",","""livelihoods"",",4
"""livestock"",","""livestock"",",4
"""migration"",","""migration"",",4
"""northeastindia"",","""northeastindia"",",4
"""plantgeneticresources"",","""plantgeneticresources"",",4
"""populationstructure"",","""populationstructure"",",4
"""principalcomponentanalysis"",","""principalcomponentanalysis"",",4
"""soilquality"",","""soilquality"",",4
"""systemproductivity"",","""systemproductivity"",",4
"""agrarianchange"",","""agrarianchange"",",3
"""biocontrol"",","""biocontrol"",",3
"""biologicalcontrol"",","""biologicalcontrol"",",3
"""breeding"",","""breeding"",",3
"""certification"",","""certification"",",3
"""conservationtillage"",","""conservationtillage"",",3
"""development"",","""development"",",3
"""farmingsystems"",","""farmingsystems"",",3
"""flue-curedtobacco"",","""flue-curedtobacco"",",3
"""foodsafety"",","""foodsafety"",",3
"""foodsovereignty"",","""foodsovereignty"",",3
"""gender"",","""gender"",",3
"""geneintrogression"",","""geneintrogression"",",3
"""geneticstructure"",","""geneticstructure"",",3
"""genomicresources"",","""genomicresources"",",3
"""homegarden"",","""homegarden"",",3
"""homegardens"",","""homegardens"",",3
"""hplc"",","""hplc"",",3
"""innovation"",","""innovation"",",3
"""integratedpestmanagement"",","""integratedpestmanagement"",",3
"""juglansregia"",","""juglansregia"",",3
"""malnutrition"",","""malnutrition"",",3
"""microsatellites"",","""microsatellites"",",3
"""myanmar"",","""myanmar"",",3
"""nutrition"",","""nutrition"",",3
"""nutritionalsecurity"",","""nutritionalsecurity"",",3
"""nutritionalvalue"",","""nutritionalvalue"",",3
"""optimization"",","""optimization"",",3
"""perception"",","""perception"",",3
"""rainfedagriculture"",","""rainfedagriculture"",",3
"""residuemanagement"",","""residuemanagement"",",3
"""ruraldevelopment"",","""ruraldevelopment"",",3
"""ruralvitalization"",","""ruralvitalization"",",3
"""shiftingcultivation"",","""shiftingcultivation"",",3
