"","word","freq"
"""eurasia"",","""eurasia"",",40
"""asia"",","""asia"",",39
"""southasia"",","""southasia"",",30
""""",",""""",",29
"""biodiversity"",","""biodiversity"",",25
"""china"",","""china"",",21
"""india"",","""india"",",19
"""nepal"",","""nepal"",",18
"""rice"",","""rice"",",17
"""animalia"",","""animalia"",",15
"""agriculture"",","""agriculture"",",14
"""agriculturalecosystem"",","""agriculturalecosystem"",",12
"""himalayas"",","""himalayas"",",11
"""yunnan"",","""yunnan"",",11
"""agrobiodiversity"",","""agrobiodiversity"",",10
"""alternativeagriculture"",","""alternativeagriculture"",",10
"""cropproduction"",","""cropproduction"",",10
"""cultivation"",","""cultivation"",",8
"""fareast"",","""fareast"",",8
"""landuse"",","""landuse"",",8
"""oryzasativa"",","""oryzasativa"",",8
"""crops"",","""crops"",",7
"""shiftingcultivation"",","""shiftingcultivation"",",7
"""xishuangbanna"",","""xishuangbanna"",",7
"""zeamays"",","""zeamays"",",7
"""agroforestry"",","""agroforestry"",",6
"""conservation"",","""conservation"",",6
"""cropyield"",","""cropyield"",",6
"""farmingsystem"",","""farmingsystem"",",6
"""forestry"",","""forestry"",",6
"""geneticdiversity"",","""geneticdiversity"",",6
"""homegarden"",","""homegarden"",",6
"""landusechange"",","""landusechange"",",6
"""soilfertility"",","""soilfertility"",",6
"""sustainabledevelopment"",","""sustainabledevelopment"",",6
"""traditionalknowledge"",","""traditionalknowledge"",",6
"""agriculturaldevelopment"",","""agriculturaldevelopment"",",5
"""bangladesh"",","""bangladesh"",",5
"""croppingpractice"",","""croppingpractice"",",5
"""indigenousknowledge"",","""indigenousknowledge"",",5
"""irrigation"",","""irrigation"",",5
"""smallholder"",","""smallholder"",",5
"""speciesrichness"",","""speciesrichness"",",5
"""traditionalagriculture"",","""traditionalagriculture"",",5
"""triticumaestivum"",","""triticumaestivum"",",5
"""bos"",","""bos"",",4
"""caprahircus"",","""caprahircus"",",4
"""conservationtillage"",","""conservationtillage"",",4
"""cost-benefitanalysis"",","""cost-benefitanalysis"",",4
"""economics"",","""economics"",",4
"""ecosystem"",","""ecosystem"",",4
"""environmentalimpact"",","""environmentalimpact"",",4
"""foodsecurity"",","""foodsecurity"",",4
"""geneticvariation"",","""geneticvariation"",",4
"""grazing"",","""grazing"",",4
"""landforms"",","""landforms"",",4
"""livestock"",","""livestock"",",4
"""maize"",","""maize"",",4
"""natureconservation"",","""natureconservation"",",4
"""on-farmconservation"",","""on-farmconservation"",",4
"""organicfarming"",","""organicfarming"",",4
"""pakistan"",","""pakistan"",",4
"""populationgrowth"",","""populationgrowth"",",4
"""principalcomponentanalysis"",","""principalcomponentanalysis"",",4
"""profitability"",","""profitability"",",4
"""questionnairesurvey"",","""questionnairesurvey"",",4
"""speciesdiversity"",","""speciesdiversity"",",4
"""wheat"",","""wheat"",",4
"""agriculturaleconomics"",","""agriculturaleconomics"",",3
"""agriculturalland"",","""agriculturalland"",",3
"""agriculturalpolicy"",","""agriculturalpolicy"",",3
"""agriculturalpractice"",","""agriculturalpractice"",",3
"""agriculturalproduction"",","""agriculturalproduction"",",3
"""agriculturalresearch"",","""agriculturalresearch"",",3
"""agroecosystem"",","""agroecosystem"",",3
"""animalhusbandry"",","""animalhusbandry"",",3
"""animals"",","""animals"",",3
"""article"",","""article"",",3
"""climatechange"",","""climatechange"",",3
"""conservationofnaturalresources"",","""conservationofnaturalresources"",",3
"""crop"",","""crop"",",3
"""cropimprovement"",","""cropimprovement"",",3
"""croppingsystem"",","""croppingsystem"",",3
"""cultivar"",","""cultivar"",",3
"""daka"",","""daka"",",3
"""developingcountries"",","""developingcountries"",",3
"""economicanalysis"",","""economicanalysis"",",3
"""erosion"",","""erosion"",",3
"""fodder"",","""fodder"",",3
"""gis"",","""gis"",",3
"""himalaya"",","""himalaya"",",3
"""income"",","""income"",",3
"""indigenouspopulation"",","""indigenouspopulation"",",3
"""integration"",","""integration"",",3
"""landdegradation"",","""landdegradation"",",3
"""landraces"",","""landraces"",",3
"""landuseplanning"",","""landuseplanning"",",3
"""legume"",","""legume"",",3
"""livestockfarming"",","""livestockfarming"",",3
"""manure"",","""manure"",",3
"""microsatellites"",","""microsatellites"",",3
"""modeling"",","""modeling"",",3
"""mountainenvironment"",","""mountainenvironment"",",3
"""mountainousareas"",","""mountainousareas"",",3
"""mountainregion"",","""mountainregion"",",3
"""mountains"",","""mountains"",",3
"""populationstructure"",","""populationstructure"",",3
"""poverty"",","""poverty"",",3
"""productivity"",","""productivity"",",3
"""regressionanalysis"",","""regressionanalysis"",",3
"""resourceuse"",","""resourceuse"",",3
"""soilerosion"",","""soilerosion"",",3
"""soils"",","""soils"",",3
"""subsistenceagriculture"",","""subsistenceagriculture"",",3
"""village"",","""village"",",3
"""womensstatus"",","""womensstatus"",",3
"""administrativeregions"",","""administrativeregions"",",2
"""agricultural"",","""agricultural"",",2
"""agriculturalbiodiversity"",","""agriculturalbiodiversity"",",2
"""agriculturalmanagement"",","""agriculturalmanagement"",",2
"""agriculturalworker"",","""agriculturalworker"",",2
"""agrobiodiversityloss"",","""agrobiodiversityloss"",",2
"""agroecology"",","""agroecology"",",2
"""apiscerana"",","""apiscerana"",",2
"""apodemusagrarius"",","""apodemusagrarius"",",2
"""arableland"",","""arableland"",",2
"""asparagusracemosus"",","""asparagusracemosus"",",2
"""basidiomycota"",","""basidiomycota"",",2
"""benefitcostratio"",","""benefitcostratio"",",2
"""biomass"",","""biomass"",",2
"""c"",","""c"",",2
"""cashcrops"",","""cashcrops"",",2
"""chillinginjury"",","""chillinginjury"",",2
"""cinnamomumtamala"",","""cinnamomumtamala"",",2
"""commercialization"",","""commercialization"",",2
"""conferenceproceeding"",","""conferenceproceeding"",",2
"""conservationmanagement"",","""conservationmanagement"",",2
"""costs"",","""costs"",",2
"""cropresidues"",","""cropresidues"",",2
"""culturalheritage"",","""culturalheritage"",",2
"""developingcountry"",","""developingcountry"",",2
"""developingworld"",","""developingworld"",",2
"""diversity"",","""diversity"",",2
"""diversityindex"",","""diversityindex"",",2
"""easternnepal"",","""easternnepal"",",2
"""ecosystems"",","""ecosystems"",",2
"""energy"",","""energy"",",2
"""energyconservation"",","""energyconservation"",",2
"""energyuse"",","""energyuse"",",2
"""estimationmethod"",","""estimationmethod"",",2
"""ethnicminorities"",","""ethnicminorities"",",2
"""europe"",","""europe"",",2
"""fertilizerapplication"",","""fertilizerapplication"",",2
"""fertilizers"",","""fertilizers"",",2
"""foodproduction"",","""foodproduction"",",2
"""foodsupply"",","""foodsupply"",",2
"""forestmanagement"",","""forestmanagement"",",2
"""forestresource"",","""forestresource"",",2
"""gender"",","""gender"",",2
"""geneticengineering"",","""geneticengineering"",",2
"""geneticresource"",","""geneticresource"",",2
"""glycinemax"",","""glycinemax"",",2
"""grain-for-greenprogramme"",","""grain-for-greenprogramme"",",2
"""grass"",","""grass"",",2
"""householdsurvey"",","""householdsurvey"",",2
"""human"",","""human"",",2
"""humans"",","""humans"",",2
"""inputenergy"",","""inputenergy"",",2
"""insituconservation"",","""insituconservation"",",2
"""institutionalconstraints"",","""institutionalconstraints"",",2
"""integratedfarming"",","""integratedfarming"",",2
"""intensiveagriculture"",","""intensiveagriculture"",",2
"""interview"",","""interview"",",2
"""juglandaceae"",","""juglandaceae"",",2
"""juglansregia"",","""juglansregia"",",2
"""juglanssigillata"",","""juglanssigillata"",",2
"""karakoram"",","""karakoram"",",2
"""kinship"",","""kinship"",",2
"""landrace"",","""landrace"",",2
"""landusesystem"",","""landusesystem"",",2
