"","word","freq"
"""asia"",","""asia"",",18
""""",",""""",",15
"""eurasia"",","""eurasia"",",15
"""nepal"",","""nepal"",",13
"""southasia"",","""southasia"",",13
"""china"",","""china"",",10
"""farmingsystem"",","""farmingsystem"",",9
"""india"",","""india"",",9
"""bangladesh"",","""bangladesh"",",8
"""easternhemisphere"",","""easternhemisphere"",",8
"""world"",","""world"",",8
"""agroforestry"",","""agroforestry"",",7
"""agrobiodiversity"",","""agrobiodiversity"",",6
"""biodiversity"",","""biodiversity"",",6
"""conservation"",","""conservation"",",6
"""landuse"",","""landuse"",",6
"""sustainability"",","""sustainability"",",6
"""zeamays"",","""zeamays"",",6
"""animalia"",","""animalia"",",5
"""crops"",","""crops"",",5
"""himalayas"",","""himalayas"",",5
"""rice"",","""rice"",",5
"""agriculture"",","""agriculture"",",4
"""article"",","""article"",",4
"""himalaya"",","""himalaya"",",4
"""maize"",","""maize"",",4
"""oryzasativa"",","""oryzasativa"",",4
"""soilfertility"",","""soilfertility"",",4
"""sustainabledevelopment"",","""sustainabledevelopment"",",4
"""bostaurus"",","""bostaurus"",",3
"""cicerarietinum"",","""cicerarietinum"",",3
"""glycinemax"",","""glycinemax"",",3
"""intercropping"",","""intercropping"",",3
"""mountainregion"",","""mountainregion"",",3
"""nitrogenfixation"",","""nitrogenfixation"",",3
"""nonhuman"",","""nonhuman"",",3
"""phosphorus"",","""phosphorus"",",3
"""solanumtuberosum"",","""solanumtuberosum"",",3
"""triticumaestivum"",","""triticumaestivum"",",3
"""watershed"",","""watershed"",",3
"""agriculturaldevelopment"",","""agriculturaldevelopment"",",2
"""agriculturalintensification"",","""agriculturalintensification"",",2
"""agriculturalmanagement"",","""agriculturalmanagement"",",2
"""agriculturalproduction"",","""agriculturalproduction"",",2
"""agriculturedevelopment"",","""agriculturedevelopment"",",2
"""agroecology"",","""agroecology"",",2
"""amorphophallus"",","""amorphophallus"",",2
"""apislaboriosa"",","""apislaboriosa"",",2
"""bubalus"",","""bubalus"",",2
"""buffalo"",","""buffalo"",",2
"""cajanuscajan"",","""cajanuscajan"",",2
